hash_id,titre,entreprise,lieu,region,salaire_min,salaire_max,salaire_brut,remote,contrat,contrat_type,categorie,secteur,description,lien,tags,niveau,date_creation,date_scraping,source,poste_recherche
b39a66b318f10d83,Visual Systems Specialist,Apple,"Cupertino, CA",CA,,,,False,external,external,Computer and IT,Informatique / Tech,"Worldwide Events and Experiences brings the best of Apple to life, showcasing our products, services and the values that drive our company. From global product launches and tailored creator experiences to impactful partner engagements and inspiring internal events, this team is charged with managing the end-to-end planning, production, in person experiences and all the unique details that make these events special. The team includes professionals with backgrounds in event design, management, ope",https://www.themuse.com/jobs/apple/visual-systems-specialist-b5ecd5,Computer and IT,Senior Level,2026-05-01,2026-05-02,themuse,Computer and IT
5a4a8ca241dc6d1b,IT Technician I,Banner Health,"Payson, AZ",AZ,,,,False,external,external,Computer and IT,Informatique / Tech,"Primary City/State: Payson, Arizona Department Name: Banner Staffing Services-AZ Work Shift: Day Job Category: Information Technology Banner Health was named to Fortune's Most Innovative Companies in America 2025 list for the third consecutive year and named to Newsweek's list of Most Trustworthy Companies in America for the second year in a row. We're proud to be recognized for our commitment to the latest health care advancements and excellent patient care. The Enterprise Operations Team provi",https://www.themuse.com/jobs/bannerhealth/it-technician-i-423f00,Computer and IT,Mid Level,2026-04-02,2026-05-02,themuse,Computer and IT
056430eaf0203212,IT Operations Team Lead,Kyndryl,"Mexico City, Mexico",Mexico,,,,True,external,external,Computer and IT,Informatique / Tech,"Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edge. For our people-Kyndryls-that means doing purposeful work that powers human progress. Join us and experience a flexible, supportive environment where your well-being is prioritized ",https://www.themuse.com/jobs/kyndryl/it-operations-team-lead,Computer and IT,Senior Level,2026-04-23,2026-05-02,themuse,Computer and IT
606583d40e47337c,IT Security Ops Specialist (Business Title-Cybersecurity-Security Assesments),Mattel,"Hyderabad, India",India,,,,False,external,external,Computer and IT,Informatique / Tech,"Company Description CREATIVITY IS OUR SUPERPOWER. &nbsp;It’s our heritage and it’s also our future. Because we don’t just make toys. We create innovative products and experiences that inspire fans, entertain audiences and develop children through play. Mattel is at its best when every member of our team feels respected, included, and heard—when everyone can show up as themselves and do their best work every day. We value and share an infinite range of ideas and voices that evolve and broaden our",https://www.themuse.com/jobs/mattel/it-security-ops-specialist-business-titlecybersecuritysecurity-assesments-1b1abd,Computer and IT,Senior Level,2026-04-12,2026-05-02,themuse,Computer and IT
1362e2625b2e8a54,インダストリーコンサルタント（製造領域）,IBM,"Tokyo, Japan",Japan,,,,False,external,external,Computer and IT,Informatique / Tech,Introduction IBMでキャリアを育くむ社員は、世界各国のお客様とIBMとのリレーションをさらに深め、更なる協業を推進していく役割を担います。 あなたは、様々な専門性を持った有識者との協業を通じて、各業界を代表するお客様の最新のテクノロジー(AIやハイブリッドクラウド)を活用した変革をご支援します。お客様に価値ある変革をもたらすためのあなたの能力は、パートナー様との協業、ソフトウェアやRed Hatを始めとするIBMのテクノロジーポートフォリオの活用により、さらに引き出され、育まれていきます。 好奇心と、知識に対する飽くなき探究心は、このポジションで成果を上げるために不可欠なものです。現状に挑戦し、様々なアイデアに触れ、お客様のビジネスに新たなインパクトをもたらすクリエイティブなソリューションを生み出すことが求められます。IBMは、あなたにキャリアの可能性と成長の機会をもたらします。IBMには、あなたのこれまでのスキルや経験を受け入れる土壌があります。それがIBMのカルチャーです。 Your role and responsibilities ＜＜業務内容＞＞ 本ポジションで,https://www.themuse.com/jobs/ibm/-5e3bfa,Computer and IT,Mid Level,2026-01-11,2026-05-02,themuse,Computer and IT
0e263bb76974ff26,"Staff, Technical Program Manager",Walmart,"Rogers, AR",AR,,,,False,external,external,Computer and IT,Informatique / Tech,"Position Summary... What you'll do... About Team: At Walmart, we help people save money so they can live better. This mission serves as the foundation for every decision we make, from responsible sourcing to sustainability-and everything in between. As a Walmart associate, you will play an integral role in shaping the future of retail, tech, merchandising, finance, and hundreds of other industries-all while affecting the lives of millions of customers all over the world. Here, your work makes an",https://www.themuse.com/jobs/walmart/staff-technical-program-manager-f33f00,Computer and IT,Senior Level,2025-08-13,2026-05-02,themuse,Computer and IT
f35de1f0636bfead,LEAD ADMINISTRATOR L1(CONTRACT),Wipro,"Pune, India",India,,,,False,external,external,Computer and IT,Informatique / Tech,"City: Pune State/Province: Maharashtra Posting Start Date: 4/8/26 Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients' most complex digital transformation needs. Leveraging our holistic portfolio of capabilities in consulting, design, engineering, and operations, we help clients realize their boldest ambitions and build future-ready, sustainable businesses. With over 230,000 emplo",https://www.themuse.com/jobs/wipro/lead-administrator-l1contract-fbd24b,Computer and IT,Senior Level,2026-04-18,2026-05-02,themuse,Computer and IT
4785a2bdfa51f75c,PRACTICANTE DE INGENIERIA DE MANUFACTURA,Jabil,"Chihuahua, Mexico",Mexico,,,,False,external,external,Computer and IT,Informatique / Tech,"At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vib",https://www.themuse.com/jobs/jabil/practicante-de-ingenieria-de-manufactura-4557dc,Computer and IT,Mid Level,2026-04-07,2026-05-02,themuse,Computer and IT
06335dede6c2e54c,Client Advocate I (Meritain Health),CVS Health,"Baton Rouge, LA",LA,,,,False,external,external,Computer and IT,Informatique / Tech,"At CVS Health, we're building a world of health around every consumer and surrounding ourselves with dedicated colleagues who are passionate about transforming health care.As the nation's leading health solutions company, we reach millions of Americans through our local presence, digital channels and more than 300,000 purpose-driven colleagues - caring for people where, when and how they choose in a way that is uniquely more connected, more convenient and more compassionate. And we do it all wit",https://www.themuse.com/jobs/cvshealth/client-advocate-i-meritain-health-f3bd89,Computer and IT,Mid Level,2025-04-14,2026-05-02,themuse,Computer and IT
c152387be81625bb,Консультант з планування / Planner I (PAAS),Jabil,"Uzhgorod, Ukraine",Ukraine,,,,False,external,external,Computer and IT,Informatique / Tech,"At Jabil (NYSE: JBL), we are proud to be a trusted partner for the world's top brands, offering comprehensive engineering, supply chain, and manufacturing solutions. With 60 years of experience across industries and a vast network of over 100 sites worldwide, Jabil combines global reach with local expertise to deliver both scalable and customized solutions. Our commitment extends beyond business success as we strive to build sustainable processes that minimize environmental impact and foster vib",https://www.themuse.com/jobs/jabil/planner-i-paas-d389c8,Computer and IT,Mid Level,2026-04-29,2026-05-02,themuse,Computer and IT
24bd3da76d2240c4,Project Administrator-Western Division IT,Labcorp,"Seattle, WA",WA,,,,False,external,external,Computer and IT,Informatique / Tech,"Project Administrator Western Division -Work Schedule: 8am-5pm PST with some flexibility The Project Administrator provides high-level operational, coordination, and analytical support to the Senior Leadership Team. This role leads and supports employee-focused initiatives, manages program performance, and serves as a key contributor to Mergers &amp; Acquisitions (M&amp;A) readiness activities. Job Responsibilities 1. Employee Focus Initiatives Serve as the Subject Matter Expert for employee-foc",https://www.themuse.com/jobs/labcorp/project-administratorwestern-division-it,Computer and IT,Mid Level,2026-04-24,2026-05-02,themuse,Computer and IT
e83760f0c82ac9be,Edit Support and Workflow Supervisor,Warner Bros. Discovery,"London, United Kingdom",United Kingdom,,,,False,external,external,Computer and IT,Informatique / Tech,"Welcome to Warner Bros. Discovery... the stuff dreams are made of. Who We Are... When we say, ""the stuff dreams are made of,"" we're not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD's vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what's next... From brilliant creatives, to technology trailblaze",https://www.themuse.com/jobs/warnerbrosdiscovery/edit-support-and-workflow-supervisor,Computer and IT,Mid Level,2025-04-12,2026-05-02,themuse,Computer and IT
34d8b180d2a9973f,Internal Audit IT Manager,Coinbase,"Atlanta, GA",GA,,,,False,external,external,Computer and IT,Informatique / Tech,"Ready to be pushed beyond what you think you're capable of? At Coinbase, our mission is to increase economic freedom in the world. It's a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform - and with it, the future global financial system. To achieve our mission, we're seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the f",https://www.themuse.com/jobs/coinbase/internal-audit-it-manager-be9ae5,Computer and IT,Senior Level,2026-04-18,2026-05-02,themuse,Computer and IT
97302058d0d5b8a5,IT Sales Executive - Managed IT Services/Cybersecurity (Legal Vertical),Konica Minolta Business Solutions,"Chicago, IL",IL,,,,True,external,external,Computer and IT,Informatique / Tech,"Overview All Covered, a Konica Minolta Division, has a great opportunity for an IT Sales Executive! We are looking for someone to help sell our Managed IT Services, Cyber Security/MSSP offerings and our Secure Cloud Solutions into the Legal Vertical. Please note, although this opportunity is remote, you must reside TX or IL OTE: $250-$300K (commission is uncapped) This is a unique opportunity to work with Konica Minolta Business Solutions (KMBS) who was rated by Forbes as Americas Best Employers",https://www.themuse.com/jobs/konicaminoltabusinesssolutions/it-sales-executive-managed-it-servicescybersecurity-legal-vertical,Computer and IT,Senior Level,2026-04-25,2026-05-02,themuse,Computer and IT
