titre,entreprise,lieu,remote,description,lien,tags,date_scraping,source
Privatkundenbetreuer (m/w/d),MY Humancapital GmbH,Bad Tölz,False,"<p>Im Auftrag unseres Partnerunternehmens in Bad Tölz suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Privatkundenberater“.</strong></p>
<h2><strong>Aufgaben</strong></h2>
<ul>
<li>Als <stro",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/privatkundenbetreuer-bad-tolz-434077,Private Banking,2026-05-02,arbeitnow
Bankkaufmann / Kundenberater (m/w/d),MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Bankkaufmann / Kundenberater (m/w/d)“.</strong></p>
<h2><strong>Aufgaben</strong></h2>
<u",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/bankkaufmann-kundenberater-munich-480632,Private Banking,2026-05-02,arbeitnow
Kundenberater Private Banking (m/w/d),MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens in München suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„Kundenberater Private Banking (m/w/d)“.</strong></p>
<h2><strong>Aufgaben</strong></h2>
<",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/kundenberater-private-banking-munich-385450,Private Banking,2026-05-02,arbeitnow
IT Administrator (m/w/d),MY Humancapital GmbH,Munich,False,"<p>Im Auftrag unseres Partnerunternehmens suchen wir Sie zum nächstmöglichen Zeitpunkt als <strong>„IT Administrator (m/w/d)“.</strong></p>
<h2><strong>Aufgaben</strong></h2>
<ul>
<li>Als IT Administr",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/it-administrator-munich-353981,Information Systems,2026-05-02,arbeitnow
Betriebskostenabrechner (m/w/d),MY Humancapital GmbH,Munich,False,"<p>Suchen Sie einen zuverlässigen Partner, der Ihnen bei der Stellensuche in München hilft? Dann sind Sie bei der MHC goldrichtig! Profitieren Sie von der langjährigen Erfahrung unserer Experten. Dank",https://www.arbeitnow.com/jobs/companies/my-humancapital-gmbh/betriebskostenabrechner-munich-60292,Finance,2026-05-02,arbeitnow
Senior Performance B2B Marketing Manager (m/w/d),PLSTR DIGITAL GmbH,Mannheim,False,"<p><strong>plstr. – Die B2B-Digitalagentur ohne Agentur-Bullshit.</strong></p>
<p>Wir sind eine 10-köpfige Digitalagentur aus Mannheim mit Fokus auf Account-based Marketing und AI-Automation für mitte",https://www.arbeitnow.com/jobs/companies/plstr-digital-gmbh/senior-performance-b2b-marketing-manager-mannheim-138978,Marketing Manager,2026-05-02,arbeitnow
Teamleiter Servicetechniker Gebäudetechnik (m/w/d),Ströer X GmbH,Hamburg,False,<p>Wir sind auf der Suche nach einem erfahrenen <strong>Teamleiter Servicetechniker Gebäudetechnik (m/w/d) im Außendienst</strong>. Wenn du in der Region rund um <strong>Hamburg oder Bremen </strong>l,https://www.arbeitnow.com/jobs/companies/stroer-x-gmbh/teamleiter-servicetechniker-gebaudetechnik-hamburg-440864,"Technical, high school or equivalent",2026-05-02,arbeitnow
Customer Service Spezialist,The Bike Club,Berlin,False,"<p><strong>Über Bike Club:</strong><br>
Bike Club ist ein Abo-Service für hochwertige Kinderfahrräder: Das Fahrrad wird einfach gegen ein größeres Modell eingetauscht, wenn das Kind wächst. So entsteh",https://www.arbeitnow.com/jobs/companies/the-bike-club/customer-service-spezialist-berlin-28377,Customer Service,2026-05-02,arbeitnow
"Consultant (m/w/d) Datenschutz & Informationssicherheit (Teilzeit, Remote)",DSEV Consulting & Akademie GmbH,Augsburg,True,"<p>DSEV ist ein innovatives Beratungsunternehmen mit Fokus auf Datenschutz, Informationssicherheit und Compliance. Wir unterstützen unsere Kunden bei der Umsetzung gesetzlicher Anforderungen sowie bei",https://www.arbeitnow.com/jobs/companies/dsev-consulting-akademie-gmbh/consultant-datenschutz-informationssicherheit-teilzeit-remote-augsburg-175849,"Remote, Consulting",2026-05-02,arbeitnow
Dynamics 365 Consultant & Engineer (m/w/d) mit Karriereambitionen!,Auralis Group,Markt Indersdorf,True,"<p>Wir sind ein schnell wachsendes IT-Unternehmen (ca. 50 MA) und suchen Verstärkung, um anspruchsvolle Projekte im Bereich Microsoft Dynamics 365 bei unseren Kunden umzusetzen und aktiv mitzugestalte",https://www.arbeitnow.com/jobs/companies/auralis-group/dynamics-365-consultant-engineer-mit-karriereambitionen-markt-indersdorf-368597,"Remote, Business Consulting",2026-05-02,arbeitnow
Java Softwareentwickler:in mit Karriereambitionen - jetzt mit uns voll durchstarten!,Auralis Group,Markt Indersdorf,True,"<p>Wir sind ein fast zwei Jahre altes IT Unternehmen, aktuell 50 MA, und suchen nun weiterhin Verstärkung, um Java-Projekte bei unseren Kunden durchzuführen.</p>
<h2>Aufgaben</h2>
<p>Du willst:</p>
<u",https://www.arbeitnow.com/jobs/companies/auralis-group/java-softwareentwicklerin-mit-karriereambitionen-jetzt-mit-uns-voll-durchstarten-markt-indersdorf-331168,"Remote, Software Development",2026-05-02,arbeitnow
Software Testautomatisierer (m/w/d) mit Karriereambitionen,Auralis Group,Markt Indersdorf,True,"<p>Wir sind ein fast zwei Jahre altes IT-Unternehmen mit aktuell 70 MA und wachsen weiter 🚀<br>
Dafür suchen wir Verstärkung im Bereich Software Testing &#x26; Testautomatisierung, um spannende Projek",https://www.arbeitnow.com/jobs/companies/auralis-group/software-testautomatisierer-mit-karriereambitionen-markt-indersdorf-8546,"Remote, Quality Assurance, Inspection",2026-05-02,arbeitnow
SAP ABAP Entwickler (m/w/d),Pertemps ERP,Hamburg,False,"<p>Du suchst eine neue Herausforderung im SAP-Umfeld?</p>
<p>Für ein etabliertes, international tätiges Industrieunternehmen in der Metropolregion Hamburg (nördlich) suche ich aktuell einen <strong>SA",https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-abap-entwickler-hamburg-90596,IT,2026-05-02,arbeitnow
Sicherheitstechniker*in (m/w/d) für moderne Sicherheitssysteme,EXTERNUM UG (haftungsbeschränkt),Frankfurt am Main,False,"<p><strong>WIR SUCHEN DICH</strong></p>
<p>Als externes Personalberatungsunternehmen suchen wir im Auftrag des renommierten Technikunternehmens – <strong>W.I.S. Technik</strong> – eine(n) zuverlässige",https://www.arbeitnow.com/jobs/companies/externum-ug-haftungsbeschrankt/sicherheitstechnikerin-fur-moderne-sicherheitssysteme-frankfurt-am-main-78511,"Building, Supply, Safety Services Engineering",2026-05-02,arbeitnow
SAP EWM Berater,Pertemps ERP,Frankfurt am Main,True,"<p><strong>SAP EWM Entwickler (m/w/d)</strong></p>
<p>📍 Deutschlandweit | Remote! | 💰 bis zu 90.000 €</p>
<p>Du bist im <strong>SAP EWM Umfeld</strong> zuhause und möchtest an spannenden Projekten arb",https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-ewm-berater-frankfurt-am-main-306747,"Remote, IT",2026-05-02,arbeitnow
Head of SAP,Pertemps ERP,Nuremberg,False,"<p><strong>Head of SAP Applications (m/w/d)</strong></p>
<p>Standort: Nuernberg (Hybrid)</p>
<p>Für ein etabliertes, wachstumsstarkes Beratungsumfeld suchen wir aktuell eine erfahrene Persönlichkeit z",https://www.arbeitnow.com/jobs/companies/pertemps-erp/head-of-sap-nuremberg-494366,IT,2026-05-02,arbeitnow
SAP GTS Consultant (m/w/d),Pertemps ERP,Cologne,False,"<p><strong>***Exciting English speaking opportunity for an</strong> <strong>SAP GTS Consultant</strong> <strong>in Köln!***</strong></p>
<p>Industry: Logistics / Supply Chain / Warehouse</p>
<p>Locati",https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-gts-consultant-cologne-306901,Business Consulting,2026-05-02,arbeitnow
Sap Finance Control Consultant,Pertemps ERP,Frankfurt am Main,True,"<p>Wir haben die nächste Möglichkeit für Sie als SAP FICO Consultant zur Verfügung!</p>
<p>Wie stehen Sie zu neuen Herausforderungen als SAP FICO Consultant?</p>
<p>Haben Sie Interesse an (inter)natio",https://www.arbeitnow.com/jobs/companies/pertemps-erp/sap-finance-control-consultant-frankfurt-am-main-447309,"Remote, SAP/ERP Consulting, Development",2026-05-02,arbeitnow
Junior Artist Manager / Influencer Manager (m/w/d),Lionflence,Berlin,False,"<p>Was wir Dir bieten:</p>
<ul>
<li>Eine spannende Herausforderung, in der du dich weiterentwickeln kannst, rundum den Bereich Artistmanagement Medien/Social Media, Influencer Marketing und den dazuge",https://www.arbeitnow.com/jobs/companies/lionflence/junior-artist-manager-influencer-manager-berlin-325654,Marketing and Communication,2026-05-02,arbeitnow
Artist Manager / Influencer Manager (m/w/d) BERLIN,Lionflence,Berlin,False,"<p>Was wir Dir bieten:</p>
<ul>
<li>Eine spannende Herausforderung, in der du dich weiterentwickeln kannst, rundum den Bereich Artistmanagement Medien/Social Media, Influencer Marketing und den dazuge",https://www.arbeitnow.com/jobs/companies/lionflence/artist-manager-influencer-manager-berlin-468810,Marketing and Communication,2026-05-02,arbeitnow
Trainee Artist Manager / Influencer Manager (m/w/d),Lionflence,Berlin,False,"<p>Was wir Dir bieten:</p>
<ul>
<li>Eine spannende Herausforderung, in der du dich weiterentwickeln kannst, rundum den Bereich Artistmanagement Medien/Social Media, Influencer Marketing und den dazuge",https://www.arbeitnow.com/jobs/companies/lionflence/trainee-artist-manager-influencer-manager-berlin-492326,"Training, Development",2026-05-02,arbeitnow
Artist Manager / Influencer Manager (m/w/d),Lionflence,Mülheim,False,"<p>Was wir Dir bieten:</p>
<ul>
<li>Eine spannende Herausforderung, in der du dich weiterentwickeln kannst, rundum den Bereich Artistmanagement Medien/Social Media, Influencer Marketing und den dazuge",https://www.arbeitnow.com/jobs/companies/lionflence/artist-manager-influencer-manager-mulheim-402067,Marketing and Communication,2026-05-02,arbeitnow
Buchhaltungsmanager:in,Theater am Torbogen,Rottenburg,False,"<p>Das Theater am Torbogen ist mit seinen vielfältigen Theaterformen in der Region einzigartig. Professionelles Figurentheater, theaterpädagogisch begleitete Spielclubs für Kinder und Jugendliche und ",https://www.arbeitnow.com/jobs/companies/theater-am-torbogen/buchhaltungsmanagerin-rottenburg-195729,"Management, Team Leader",2026-05-02,arbeitnow
M&A Research Analyst,EquiMatch GmbH,Berlin,True,<p>EquiMatch is a Berlin-based AI-assisted deal target generation platform serving private equity firms. We turn high-level investment criteria into curated longlists of acquisition targets — combinin,https://www.arbeitnow.com/jobs/companies/equimatch-gmbh/ma-research-analyst-berlin-498635,"Remote, Mergers & Acquisitions",2026-05-02,arbeitnow
AI Engineer (Healthcare Infrastructure),Doctario GmbH,Munich,False,"<p><strong>Das deutsche Gesundheitswesen verarbeitet jedes Jahr €341 Milliarden – mit Prozessen, die für die Faxmaschine gebaut wurden. Wir bauen die KI, die das ablöst.</strong></p>
<p>Doctario entwi",https://www.arbeitnow.com/jobs/companies/doctario-gmbh/ai-engineer-healthcare-infrastructure-munich-275726,Development,2026-05-02,arbeitnow
Software Engineer,Doctario GmbH,Munich,False,"<p><strong>€341 Milliarden werden in Deutschland jedes Jahr im Gesundheitswesen abgerechnet. Der Großteil davon: manuell, fehleranfällig, veraltet. Wir ändern das.</strong></p>
<p>Doctario baut die KI",https://www.arbeitnow.com/jobs/companies/doctario-gmbh/software-engineer-munich-3435,Software Development,2026-05-02,arbeitnow
HR - Verwaltungsfachkraft (m/w/d),Lehmann Isolier- und Brandschutztechnik GmbH,Wendelstein,False,"<p><strong>Wir suchen für unser Familienunternehmen eine zuverlässige Verwaltungsfachkraft Büro</strong></p>
<h2>Aufgaben</h2>
<ul>
<li>Grundkentnisse mit VOB Regelwerk sowie bei öffentlichen Ausschre",https://www.arbeitnow.com/jobs/companies/lehmann-isolier-und-brandschutztechnik-gmbh/hr-verwaltungsfachkraft-wendelstein-35994,Administration,2026-05-02,arbeitnow
Head / Director of Customer Service (m/w/d),Turnover Recruitment GmbH,Berlin,False,"<p><strong>Confidential Search – Director Customer Experience (Berlin)</strong></p>
<p>Turnover Recruitment hat sich mit einem etablierten E-Commerce-Player mit Sitz im Berliner Westen zusammengetan u",https://www.arbeitnow.com/jobs/companies/turnover-recruitment-gmbh/head-director-of-customer-service-berlin-386688,"Management, Team Leader",2026-05-02,arbeitnow
iOS Developer,TechBiz Global GmbH,Aachen,False,"<p><span style=""color: #121317"">At </span><strong><span style=""color: #121317"">TechBiz Global</span></strong><span style=""color: #121317"">, we are providing recruitment service to our TOP clients from",https://www.arbeitnow.com/jobs/companies/techbiz-global-gmbh/ios-developer-aachen-44821,"Engineering, bachelor's degree",2026-05-02,arbeitnow
Senior Dispatcher (m/w/d) FlixTrain,Flix,"Berlin, Berlin, Germany",False,"<h5 data-start=""116"" data-end=""143""><strong data-start=""116"" data-end=""143"">Senior Disponent im Zugverkehr (m/w/d)</strong></h5>
<p class="""" data-start=""145"" data-end=""408"">Bei FlixTrain bieten wir di",https://www.arbeitnow.com/jobs/companies/flix/senior-dispatcher-flixtrain-berlin-270444,,2026-05-02,arbeitnow
DevOps Softwareentwickler:in mit Karriereambitionen - jetzt mit uns voll durchstarten!,Auralis Group,Markt Indersdorf,True,"<p>Wir sind ein fast zwei Jahre altes IT Unternehmen, aktuell 50 MA, und suchen nun weiterhin Verstärkung, um Cloud-Projekte bei unseren Kunden durchzuführen.</p>
<h2>Aufgaben</h2>
<p>Du willst:</p>
<",https://www.arbeitnow.com/jobs/companies/auralis-group/devops-softwareentwicklerin-mit-karriereambitionen-jetzt-mit-uns-voll-durchstarten-markt-indersdorf-74834,"Remote, Software Development",2026-05-02,arbeitnow
Senior Product Owner (m/f/d),Flix,"Berlin, Berlin, Germany",False,"<p>We're looking for a motivated and driven <strong>Senior Product Owner (m/f/d)</strong> who will help us shape our team and have the most direct influence on our success.</p>
<p>The mission of the R",https://www.arbeitnow.com/jobs/companies/flix/senior-product-owner-berlin-167955,,2026-05-02,arbeitnow
Senior Python Engineer (m/f/d) - Network Planning,Flix,"Berlin, Germany",False,"<p><span style=""font-size: 12pt;""><span data-contrast=""none"">At Flix, we offer a tech-driven environment where innovation meets real-world impact, with competitive pay,&nbsp;strong growth&nbsp;opportu",https://www.arbeitnow.com/jobs/companies/flix/senior-python-engineer-network-planning-berlin-464369,,2026-05-02,arbeitnow
Senior Analytics Engineer,SumUp,"Berlin, Germany",False,"<div data-testid=""markdown-response"">&nbsp;</div>
<div data-testid=""markdown-response"">
<div>
<p id=""message"">The Run &amp; Grow Tribe of Tribes powers the systems, insights, and experiences that keep",https://www.arbeitnow.com/jobs/companies/sumup/senior-analytics-engineer-berlin-300539,,2026-05-02,arbeitnow
Talent Acquisition Delivery Lead,SumUp,"Berlin, Germany",False,"<h2><strong>About our team</strong></h2>
<p>SumUp's TA team is shifting from reactive hiring to a structured, KPI-driven delivery model, and this role is at the centre of that change. You'll be the de",https://www.arbeitnow.com/jobs/companies/sumup/talent-acquisition-delivery-lead-berlin-258750,,2026-05-02,arbeitnow
Head of Product & Growth for Private Trips (100% Remote),Ventura TRAVEL,"Munich, Bavaria, Germany",False,"<p><span style=""font-weight: 400;"">Join us at Ventura TRAVEL—a group of specialized travel brands that unleash the adventurer in every person! At <strong><a href=""https://www.epic-trips.com/"" target=""",https://www.arbeitnow.com/jobs/companies/ventura-travel/head-of-product-growth-for-private-trips-100-remote-munich-255744,,2026-05-02,arbeitnow
Senior Bid Manager,Spire,"Munich, Bavaria, Germany",False,<p>Spire Global is a space-to-cloud data and analytics company that owns and operates one of the largest constellations of satellites. Our proprietary data collection and processing techniques provide,https://www.arbeitnow.com/jobs/companies/spire/senior-bid-manager-munich-487342,,2026-05-02,arbeitnow
Werkstudent:in Creator & Business Coordinator:in (m/w/d),AZUBeasy,Stuttgart,False,"<p>Werde Teil von AZUBeasy und hilf mit, Ausbildung in Deutschland sichtbarer, attraktiver und menschlicher zu machen! Mein Startup wächst schnell und ich brauche jetzt Verstärkung, die wirklich anpac",https://www.arbeitnow.com/jobs/companies/azubeasy/werkstudentin-creator-business-coordinatorin-stuttgart-90061,Marketing and Communication,2026-05-02,arbeitnow
Junior Consultant Digitized Processes,PROMATIS software GmbH,Münster,False,"<p>Vertiefung: Finance, Accounting &#x26; Controlling</p>
<p>Im Fokus: Digitalisierte Finanzprozesse und Oracle Unternehmensapplikationen</p>
<p>Das Ziel ist klar: Exzellente Finanzprozesse mit Oracle",https://www.arbeitnow.com/jobs/companies/promatis-software-gmbh/junior-consultant-digitized-processes-munster-40908,Process Management,2026-05-02,arbeitnow
"Mediengestalterin Digital, Print & UI/UX (m/w/d)",Elisana Digital GmbH,Dorsten,False,"<p><strong>Working for better teamwork</strong></p>
<p>Mit unserer Teamsoftware vereinfachen Unternehmen (in D🇩🇪 A🇦🇹 CH🇨🇭) mit 5–300 Mitarbeitern ihre tägliche Zusammenarbeit, Organisation und Persona",https://www.arbeitnow.com/jobs/companies/elisana-digital-gmbh/mediengestalterin-digital-print-ui-ux-dorsten-120470,"Media, Screen and Web Design",2026-05-02,arbeitnow
Junior-Projektmanager (m/w/d) gesucht!,talenthafen GmbH,Hamburg,False,"<p><strong>talenthafen steht für Exzellenz im modernen Recruiting.</strong><br>
Wir sind eine strategische Beratung und ein Systemhaus für Arbeitgeberpositionierung und Personalgewinnung – mit technol",https://www.arbeitnow.com/jobs/companies/talenthafen-gmbh/junior-projektmanager-gesucht-hamburg-358001,Business Consulting,2026-05-02,arbeitnow
Senior Product Owner (m/w/d) AI-assisted Software Engineering,QualityMinds GmbH,Nuremberg,False,"<p>Die QualityMinds GmbH ist ein mittelständisches, agiles Unternehmen mit Fokus auf Qualitätssicherung, Softwaretest und Softwareentwicklung. Kontinuierliches Lernen, Selbstorganisation und Eigenvera",https://www.arbeitnow.com/jobs/companies/qualityminds-gmbh/senior-product-owner-ai-assisted-software-engineering-nuremberg-139749,"Consulting, Engineering",2026-05-02,arbeitnow
Lead Blockchain Engineer,CEF AI,Berlin,False,"<p>We are hiring a Lead Blockchain Engineer to work on the core protocol powering CEF’s decentralized AI and data infrastructure.</p>
<p>This is not a maintenance role.</p>
<p>This is not a “build a t",https://www.arbeitnow.com/jobs/companies/cef-ai/lead-blockchain-engineer-berlin-142358,Engineering,2026-05-02,arbeitnow
Founder's Associate (Pflichtpraktikum),Heidi Systems,Berlin,False,"<p>Berlin based | German native speaker | <strong>Pflichtpraktikum</strong> | Rolling intake</p>
<p><strong>MAXIMALE VERANTWORTUNG. STEILE LERNKURVE. FAST PACE.</strong></p>
<p>Wenn du einen Job suchs",https://www.arbeitnow.com/jobs/companies/heidi-systems/founders-associate-pflichtpraktikum-berlin-144964,Business Development,2026-05-02,arbeitnow
Head of Influencer Marketing (m/f/d),HEY HOLY GmbH,Frankfurt am Main,True,"<p><strong>Our mission at HEY HOLY:</strong> Taking dog health to the next level through nutrition. Instead of one-size-fits-all, we focus on breed-specific, functional food – developed with veterinar",https://www.arbeitnow.com/jobs/companies/hey-holy-gmbh/head-of-influencer-marketing-frankfurt-am-main-231749,"Remote, Marketing and Communication",2026-05-02,arbeitnow
CLM Lead,Every.,Berlin,False,"<h2>CLM Lead (m/f/d)</h2>
<p><strong>Berlin · Full-time</strong></p>
<h2>The role</h2>
<p>Own the customer lifecycle marketing at every. You define the strategy, lead the team, and ship the work that ",https://www.arbeitnow.com/jobs/companies/every/clm-lead-berlin-108628,Marketing and Communication,2026-05-02,arbeitnow
Werkstudent / Praktikant Finanzen (m/w/d),CRX Markets AG,Munich,False,<p>Du möchtest dein Fachwissen bei einem Finanzdienstleister mit Wurzeln in der IT-Branche einsetzen? Wir sind immer auf der Suche nach den kreativsten Köpfen – in diesem Fall für unseren wachsenden F,https://www.arbeitnow.com/jobs/companies/crx-markets-ag/werkstudent-praktikant-finanzen-munich-471850,Finance,2026-05-02,arbeitnow
Praktikum im Consulting (m/w/d) bei Horbach,HORBACH Wirtschaftsberatung GmbH,Stuttgart,False,<p>Du interessierst dich für Finanzthemen und möchtest als <strong>Praktikant*in (m/w/d)</strong> erste praktische Einblicke in die Branche gewinnen? Dann ist ein Praktikum bei uns der ideale Einstieg,https://www.arbeitnow.com/jobs/companies/horbach-wirtschaftsberatung-gmbh/praktikum-im-consulting-bei-horbach-stuttgart-163490,"Asset, Fonds Management",2026-05-02,arbeitnow
Duales Studium - Wirtschaftswissenschaften,HORBACH Wirtschaftsberatung GmbH,Stuttgart,False,"<p>Keine Lust auf ein rein theoretisches Studium?<br>
Starte jetzt Dein <strong>duales Studium im Bereich Wirtschaftswissenschaften</strong> bei HORBACH!</p>
<p>Du hast Dein (Fach-)Abitur bald in der ",https://www.arbeitnow.com/jobs/companies/horbach-wirtschaftsberatung-gmbh/duales-studium-wirtschaftswissenschaften-stuttgart-499356,"Asset, Fonds Management",2026-05-02,arbeitnow
Snr. Business Development Manager - Mobile Performance Ads,REPLUG,Berlin,True,"<p>REPLUG is an award-winning mobile growth agency working with mobile-first brands to design and execute tailor-made strategies via App Store Optimization, Paid Acquisition, Creative Strategies, and ",https://www.arbeitnow.com/jobs/companies/replug/snr-business-development-manager-mobile-performance-ads-berlin-137330,"Remote, Business Development",2026-05-02,arbeitnow
Junior Social Media Manager (m/w/d),KNSK,Hamburg,False,"<h2>Jobteaser</h2>
<p>Du liebst Social Media – aber vor allem liebst du das, was man daraus machen kann? Wir suchen einen <strong>Junior Social Media Manager</strong> (m/w/d), der nicht nur auf Briefi",https://www.arbeitnow.com/jobs/companies/knsk/junior-social-media-manager-hamburg-312448,Marketing and Communication,2026-05-02,arbeitnow
Operations Excellence & Expansion (m/w/d) - Vollzeit,ELMI Power GmbH,Niddatal,False,"<p><strong>Über ELM</strong></p>
<p>ELMI ist ein Technologieunternehmen für batteriegestützte Ultra-Schnellladestationen. Unsere Mission ist es, weit mehr als klassische Ladesäulen zu entwickeln: Wir ",https://www.arbeitnow.com/jobs/companies/elmi-power-gmbh/operations-excellence-expansion-vollzeit-niddatal-311855,Project Management,2026-05-02,arbeitnow
(Senior) Customer Success Manager (f/m/d),Predium Technology GmbH,Munich,False,"<h2>Unsere Opportunity</h2>
<p>Die Immobilienbranche steht vor einer der größten Transformationen der nächsten Jahrzehnte - getrieben durch EU-Taxonomie, CSRD und steigende regulatorische Anforderunge",https://www.arbeitnow.com/jobs/companies/predium-technology-gmbh/senior-customer-success-manager-munich-68405,Customer Service,2026-05-02,arbeitnow
Marketing Manager (m/w/d) Content & Social Media,Medialine EuroTrade AG,Cologne,False,"<p>Diese Position ist für unsere Gesellschaft Medialine EuroTrade AG zu besetzen.</p>
<p>Deine Mission: Du sorgst dafür, dass unsere Themen nicht nur gesehen, sondern verstanden werden. Dabei übersetz",https://www.arbeitnow.com/jobs/companies/medialine-eurotrade-ag/marketing-manager-content-social-media-cologne-265745,Social Media Manager,2026-05-02,arbeitnow
Quality Assurance Assistant (m/w/d),niederwieser,Sulzberg,False,"<p>Die Niederwieser Group ist ein international aufgestelltes Familienunternehmen mit Standorten in Italien, Deutschland und Spanien und steht für Qualität, Verlässlichkeit und kontinuierliche Weitere",https://www.arbeitnow.com/jobs/companies/niederwieser/quality-assurance-assistant-sulzberg-445370,Quality Management,2026-05-02,arbeitnow
Wirtschaftsprüfungsassistent (all genders) Vollzeit,HBP Partnerschaft mbB,Düsseldorf,False,"<p><strong>Keine Lust mehr auf leere Versprechen?</strong></p>
<p>Bei uns bedeutet „professionell“ immer auch „menschlich“. Als wachsende Steuer- und Wirtschaftsprüfungskanzlei mit rund 50 Mitarbeiten",https://www.arbeitnow.com/jobs/companies/hbp-partnerschaft-mbb/wirtschaftsprufungsassistent-all-genders-vollzeit-dusseldorf-202061,Auditor,2026-05-02,arbeitnow
Leiter:in IT Aufbau einer gruppenweiten IT-Organisation,wabcon,Nuremberg,False,"<p>Bei unserem Kunden handelt es sich um einen der Martführer im Bereich der IT-Security. Wir suchen für den Kunden zum nächsmöglichen Zeitpunkt einen erfahrenen Leiter Konzern-IT (m/w/d).</p>
<h2>Auf",https://www.arbeitnow.com/jobs/companies/wabcon/leiterin-it-aufbau-einer-gruppenweiten-it-organisation-nuremberg-92486,Project Management,2026-05-02,arbeitnow
Marketing Manager,Lumiform,Berlin,True,"<p>We are looking for a channel-agnostic, high-velocity Marketing Manager to join our team. You aren’t just a ""specialist"" in one area; you are a digital architect who understands how to pull the leve",https://www.arbeitnow.com/jobs/companies/lumiform/marketing-manager-berlin-434729,"Remote, Marketing Manager",2026-05-02,arbeitnow
Senior Data Engineer (m/f/d) – Customer Identity Resolution,momox,Berlin,False,"<h2>Our mission</h2>
<p><strong>We are on a mission to save our planet - one second hand product at a time.</strong></p>
<p>As Senior Data Engineer, you will own one of our most business-critical data",https://www.arbeitnow.com/jobs/companies/momox/senior-data-engineer-customer-identity-resolution-berlin-493575,IT,2026-05-02,arbeitnow
Werkstudent (M/W/D) als Technischer Zeichner / Systemplaner,KLT Klima- und Lüftungstechnik GmbH,Hamburg,False,"<p>KLT Klima- und Lüftungstechnik GmbH plant und realisiert Lüftungs- und Klimaanlagen für u. a. Schulen, Büro/Industrie, Küchen, Labore und Krankenhäuser. Als Werkstudent (m/w/d) unterstützt du unser",https://www.arbeitnow.com/jobs/companies/klt-klima-und-luftungstechnik-gmbh/werkstudent-als-technischer-zeichner-systemplaner-hamburg-156426,"Building, Supply, Safety Services Engineering",2026-05-02,arbeitnow
"Packaging Designer / Artworker (Fixed-term, 1 year) (m/f/d)",KoRo Handels GmbH,Berlin,False,"<h2>Your tasks</h2>
<p>At <strong>KoRo</strong>, we’re looking for a hands-on <strong>Packaging Designer / Artworker (m/f/d)</strong> to join our creative team for a <strong>1-year fixed-term contract",https://www.arbeitnow.com/jobs/companies/koro-handels-gmbh/packaging-designer-artworker-fixed-term-1-year-berlin-195137,Graphic Arts and Communication Design,2026-05-02,arbeitnow
Quality Engineer (f/m/d) Management Systems,K-tronik GmbH,Laupheim,False,"<h2>Projektbeschreibung:</h2>
<p>Zur Unterstützung unseres Teams bei eine rennomierten Kunden im Bereich Verteidigungstechnik suchen wir zum nächstmöglichen Zeitpunkt einen Quality Engineer (f/m/d) Ma",https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/quality-engineer-management-systems-laupheim-153798,Quality Management,2026-05-02,arbeitnow
Junior IT-Systemadministrator (w/m/d) - inhouse - German C1+,Trigon Gruppe GmbH,Berlin,False,"<p>Systemadministration · 1st Level Support · Microsoft 365 · Netzwerkadministration · IT-Infrastruktur · Helpdesk · 2nd Level Support · IT-Rollout</p>
<p><strong>Über uns:</strong></p>
<p>Die Trigon ",https://www.arbeitnow.com/jobs/companies/trigon-gruppe-gmbh/junior-it-systemadministrator-inhouse-german-c1-berlin-412855,System and Network Administration,2026-05-02,arbeitnow
Senior Consultant E-Commerce & Digital Growth (m/w/d),ABRIO GmbH,Frankfurt,False,"<p><span style=""color: #121317"">Stell dir vor, es ist dein erster Tag als </span><strong><span style=""color: #121317"">Senior Consultant E-Commerce &amp; Digital Growth (m/w/d) </span></strong><span st",https://www.arbeitnow.com/jobs/companies/abrio-gmbh/senior-consultant-e-commerce-digital-growth-frankfurt-388851,"Consulting, high school coursework",2026-05-02,arbeitnow
Senior Applikationsingenieur Software (m/w/d),Inpernell GmbH,Villingen-Schwenningen,False,"<p>""Wir sind die Top-Adresse für Personalvermittlung, wenn es um die Verbindung von High-Potentials in Fach- und Führungspositionen mit erstklassigen Unternehmen geht. Unser Hauptanliegen ist, Erfolge",https://www.arbeitnow.com/jobs/companies/inpernell-gmbh/senior-applikationsingenieur-software-villingen-schwenningen-111838,"Engineering, associate's degree",2026-05-02,arbeitnow
