titre,entreprise,lieu,remote,description,lien,tags,date_scraping,source
"Tech Lead, Android Core Product - Düsseldorf, Germany",Speechify,"Dusseldorf, North Rhine-Westphalia, Germany",False,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, ",https://www.arbeitnow.com/jobs/companies/speechify/tech-lead-android-core-product-dusseldorf-germany-dusseldorf-251527,,2026-05-02,arbeitnow
"Tech Lead, Android Core Product - Cologne, Germany",Speechify,"Cologne, North Rhine-Westphalia, Germany",False,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, ",https://www.arbeitnow.com/jobs/companies/speechify/tech-lead-android-core-product-cologne-germany-177859,,2026-05-02,arbeitnow
"Tech Lead, Android Core Product - Frankfurt, Germany",Speechify,"Frankfurt, Hesse, Germany",False,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, ",https://www.arbeitnow.com/jobs/companies/speechify/tech-lead-android-core-product-frankfurt-germany-370788,,2026-05-02,arbeitnow
"Tech Lead, Android Core Product - Munich, Germany",Speechify,"Munich, Bavaria, Germany",False,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, ",https://www.arbeitnow.com/jobs/companies/speechify/tech-lead-android-core-product-munich-germany-62472,,2026-05-02,arbeitnow
"Software Engineer, Data Infrastructure & Acquisition - Cologne, Germany",Speechify,"Cologne, North Rhine-Westphalia, Germany",False,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, ",https://www.arbeitnow.com/jobs/companies/speechify/software-engineer-data-infrastructure-acquisition-cologne-germany-15947,,2026-05-02,arbeitnow
"Software Engineer, Data Infrastructure & Acquisition - Munich, Germany",Speechify,"Munich, Bavaria, Germany",False,"<p>The mission of Speechify is to make sure that reading is never a barrier to learning.</p>
<p>Over 50 million people use Speechify's text-to-speech products to turn whatever they're reading – PDFs, ",https://www.arbeitnow.com/jobs/companies/speechify/software-engineer-data-infrastructure-acquisition-munich-germany-323731,,2026-05-02,arbeitnow
"Senior Software Engineer, Windows/Desktop Applications - Stuttgart, Germany",Speechify,"Stuttgart, Baden-Württemberg, Germany",False,"<div class=""p-rich_text_section""><strong data-stringify-type=""bold"">Mission</strong></div>
<div class=""p-rich_text_section"">
<p>The mission of Speechify is to make sure that reading is never a barrier",https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-windows-desktop-applications-stuttgart-germany-138431,,2026-05-02,arbeitnow
"Senior Software Engineer, Windows/Desktop Applications - Munich, Germany",Speechify,"Munich, Bavaria, Germany",False,"<div class=""p-rich_text_section""><strong data-stringify-type=""bold"">Mission</strong></div>
<div class=""p-rich_text_section"">
<p>The mission of Speechify is to make sure that reading is never a barrier",https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-windows-desktop-applications-munich-germany-184647,,2026-05-02,arbeitnow
"Senior Software Engineer, Core Experiences - Stuttgart, Germany",Speechify,"Stuttgart, Baden-Württemberg, Germany",False,"<p><strong>Mission</strong></p>
<p><strong>Speechify is the easiest way to listen to the world's information.</strong> Articles on the web, documents in the cloud, books on your phone. We absorb it al",https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-core-experiences-stuttgart-germany-498819,,2026-05-02,arbeitnow
"Senior Software Engineer, Core Experiences - Hamburg, Germany",Speechify,"Hamburg, Germany",False,"<p><strong>Mission</strong></p>
<p><strong>Speechify is the easiest way to listen to the world's information.</strong> Articles on the web, documents in the cloud, books on your phone. We absorb it al",https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-core-experiences-hamburg-germany-184592,,2026-05-02,arbeitnow
"Senior Software Engineer, Core Experiences - Munich, Germany",Speechify,"Munich, Bavaria, Germany",False,"<p><strong>Mission</strong></p>
<p><strong>Speechify is the easiest way to listen to the world's information.</strong> Articles on the web, documents in the cloud, books on your phone. We absorb it al",https://www.arbeitnow.com/jobs/companies/speechify/senior-software-engineer-core-experiences-munich-germany-14389,,2026-05-02,arbeitnow
