titre,entreprise,lieu,salaire_min,salaire_max,remote,description,lien,date_scraping,source
AP26 BAC+4/5 - Data Analyst/Scientist (H/F),RENAULT s.a.s.,,,,False,Société RENAULT s.a.s. Descriptif du poste Contexte et environnement de travail : Renault Group poursuit son engagement envers les jeunes au travers la formation par l’alternance et les stages. Réalis,https://alliancewd.wd3.myworkdayjobs.com/fr-FR/renault-group-careers/job/AP26-BAC-4-5---Data-Analyst-Scientist--H-F-_JOBREQ_50248259?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Alternance - Data Scientist H/F,Michelin,Clermont-Ferrand,,,False,"Profil recherché :

Localisation : Clermont Ferrand

Niveau d'études : Bac +3 ou Bac +4 en Ingénieurie statistique IA

Niveau B2 en anglais minimum

Date de début : Septembre 2026

Durée: 1 ou 2 ans

",https://labonnealternance.apprentissage.beta.gouv.fr/emploi/offres_emploi_partenaires/699644ec2ba5fc475eee7db3/data-scientist?romes=M1405&radius=30&job_name=Data+scientist&activeItems=partnerJob%253A699644ec2ba5fc475eee7db3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Alternance - Assistant Ingénieur en Data Science & ai H/F,Limagrain,Chappes,,,False,"Les missions du poste

Avec pour maison-mère une coopérative agricole française installée dans la plaine de Limagne-Val d'Allier, au coeur de l'Auvergne, Limagrain est un groupe semencier et agroalime",https://www.hellowork.com/fr-fr/emplois/76707307.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data Scientist Machine Learning Copilot - full remote (IT) / Freelance,Net technologie,,,,False,"Nous recherchons un datascientist Machine Learning pour une mission en fullremote depuis la France.

Nous recherchons un(e) Data Scientist pour contribuer au déploiement d?un Sales AI Copilot destiné ",https://fr.indeed.com/viewjob?jk=b7addaa374c843c2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Apprentissage : Data scientist pour lEconomie Circulaire,Stellantis,,,,False,"Informations générales

Entité de rattachement
Nous rejoindre, c'est intégrer une entreprise d'envergure mondiale. Mû par la recherche permanente de l'innovation et de l'excellence, pionnier et leader",https://www.recruit.net/job/apprentissage-data-scientist-pour-l-jobs/BD276D6AE1015268?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data Scientist - Machine Learning / Deep Learning (E-commerce) - Freelance,Collective.work,,,,False,"Data Scientist – Machine Learning / Deep Learning (E-commerce)

Mission freelance – 6 mois renouvelable – Remote France / Paris

Contexte

Nous accompagnons une entreprise technologique internationale",https://fr.jooble.org/jdp/-3271951748477351316?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Intégrateur Big Data,Société Générale Assurances,,,,False,"Vos missions au quotidien

Rattaché au responsable du service, vous aurez en charge les impacts techniques des projets utilisant le Datalake de Société Générale Assurances. Vous intégrerez une équipe ",https://fr.linkedin.com/jobs/view/int%C3%A9grateur-big-data-at-societe-generale-assurances-4384635527?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data Scientist H/F,LTd,Clermont-Ferrand,,,False,"Quelles sont les missions ?
Vous intégrerez un acteur interanational spécialiste de la transformation de la données géographique.

Votre rôle sera de participer à la mise en place de nouveaux outils b",https://emploi.lefigaro.fr/offres-emploi/156528729859969552?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data scientist - Digital transformation / Analyse IFRS9,Société Générale,,,,False,"Vos missions au quotidien

Rejoindre RISQ/ERM/PRO c’est intégrer l’équipe en charge de la production et de la certification du coût du risque IFRS9, un indicateur clé du compte de résultat et de la co",https://fr.indeed.com/viewjob?jk=8178931cc9739340&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Apprentissage : Data scientist pour lEconomie Circulaire,Stellantis,,,,False,"Informations générales

Entité de rattachement
Nous rejoindre, c'est intégrer une entreprise d'envergure mondiale. Mû par la recherche permanente de l'innovation et de l'excellence, pionnier et leader",https://www.recruit.net/job/apprentissage-data-scientist-pour-l-jobs/BD276D6AE1015268?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Alternance - Data Scientist H/F,Michelin,Clermont-Ferrand,,,False,"Profil recherché :

Localisation : Clermont Ferrand

Niveau d'études : Bac +3 ou Bac +4 en Ingénieurie statistique IA

Niveau B2 en anglais minimum

Date de début : Septembre 2026

Durée: 1 ou 2 ans

",https://labonnealternance.apprentissage.beta.gouv.fr/emploi/offres_emploi_partenaires/699644ec2ba5fc475eee7db3/data-scientist?romes=M1405&radius=30&job_name=Data+scientist&activeItems=partnerJob%253A699644ec2ba5fc475eee7db3&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Stage - Data Scientist (H/F),Stage,,,,False,"Description de l'offre

Retour

Stage - Data Scientist (H/F)

· Equancy | Groupe EDG
· Île-de-France, France
· 07 mars, 2026
79,710

Description

Equancy est un cabinet de conseil international, basé ",https://fr.jooble.org/jdp/6299927211122695125?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Alternance – Data scientist F/H,EDF,,,,False,"ref: FRA-REC-2026-25293

Autres métiers-Tout autre métier

CDI

Lyon 01 (69001)

EDF

Offre proposée par EDF, sur la plateforme Talents Handicap, pour l'emploi des personnes en situation de handicap (",https://fr.indeed.com/viewjob?jk=972ce8cb6fb7f1ce&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data Scientist - Machine Learning / Deep Learning (E-commerce) - Freelance,Collective.work,,,,False,"Data Scientist – Machine Learning / Deep Learning (E-commerce)

Mission freelance – 6 mois renouvelable – Remote France / Paris

Contexte

Nous accompagnons une entreprise technologique internationale",https://fr.jooble.org/jdp/-3271951748477351316?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
Data Scientist – Machine Deep learning (H/F),Davidson consulting,,,,False,"Rejoindre Davidson, ce n’est pas seulement intégrer un groupe de 3000 consultants dans 6 pays et 2 continents, c’est intégrer LA société qui a été élue par ses salariés Great Place To Work France et E",https://fr.linkedin.com/jobs/view/data-scientist-%E2%80%93-machine-deep-learning-h-f-at-davidson-consulting-4249295590?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
AP26 - BAC+5 - Data Scientist IA & Agents (H/F),RENAULT s.a.s.,,,,False,Company RENAULT s.a.s. Job Description Contexte et environnement de travail : Renault Group poursuit son engagement envers les jeunes au travers la formation par l’alternance et les stages. Réalisez v,https://alliancewd.wd3.myworkdayjobs.com/en-US/renault-group-careers/job/AP26---BAC-5---Data-Scientist-IA---Agents--H-F-_JOBREQ_50248010?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,2026-03-16,glassdoor
